Version:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header:Variable,Name,Description,Value Type,Value Range,Value Provider,Value ID,Control ID,Group ID,Layout type,Place of Settings,Prompt,Default,Top Value,Searchable,Excluded Categories,Excluded Layouts,Use Parent Settings,Top Use Parent Settings,Custom Categories,Custom Order Layout,Online Flag,NETQUOTEVAR Name,Value Sub ID,Value Sub Sub ID,Included Layout Types,Included Layouts,Created By,Bounded By,Sub Variables,No Layout,Used in External Design,Allow Use Parent,Allow New,Hide If one Choice,Upload,Property Tab ID,Modifiable In Duplicate,Default Encoding,Cascade,Allow Empty Value,Upload If Defined,Export To Google Base
Variable,Has Wildlife Value,Wildlife Value,11,1,21,-1,18,Hedges Attributes,,10,Wildlife Value,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
Variable,Is Edible,Is Edible,11,1,21,-1,18,Hedges Attributes,,10,Is Edible,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
Variable,Is Fragrant,Is Fragrant,11,1,21,-1,18,Hedges Attributes,,10,Is Fragrant,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
Variable,Is Prickly,Is Prickly,11,1,21,-1,18,Hedges Attributes,,10,Is Prickly,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
Variable,Leaf Colour,Leaf Colour,3,Green|Red|Blue,21,-1,13,Hedges Attributes,,10,Leaf Colour,,Red,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Maintainable Height,Maintainable Height,0,,21,-1,1,Hedges Attributes,,10,Maintainable Height,,,0,,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Planting Density,Planting Density - Number of Plants Per Metre,0,,21,-1,1,Hedges Attributes,,10,Planting Density,,,0,Species_2,,1,3,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,SpecificationSize,SpecificationSize,0,,21,-1,1,Product,,8,SpecificationSize,,,1,Species_2,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Is Native,Is Native,11,1,21,-1,18,Hedges Attributes,,10,Native,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
Variable,National Trust,National Trust,11,1,21,-1,18,Hedges Attributes,,10,National Trust,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
Variable,Feature Hedge,Is this a Feature Hedge,11,1,21,-1,18,Hedges Attributes,,10,Is this a Feature Hedge,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,1,0,0,0
Variable,Intruder Proof,Intruder Proof,11,1,21,-1,18,Hedges Attributes,,10,Intruder Proof,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,1,0,0,0
Variable,Noise Prevention,Noise Prevention,11,1,21,-1,18,Hedges Attributes,,10,Noise Prevention,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
