Version:16,,,,,,,,,,,,,,,,,,,,,,,,
Header:Product,Product Reference,Short Description,Price,Pricing Model,Assembly Product,,,,,,,,,,,,,,,,,,,
Header:Component,Component Name,Price,Quantity,Name HTML,Is Optional,Selected by default,Associated Product Reference,Uses Associated Product Prices,Uses Associated Product Name,Uses Associated Product Tax,Component As Separate Order Line,Include No Choice Label,No Choice Label Text,IsDeleted,Content Category,Use Associated Product Shipping,Include Grid of Choice Details,Include Prices,Hide Out of Stock Options,PermutationLayout,PermutationPrice,ComponentAttributeList,AttributeList,ComponentLayout
Component,CRA-BR-120/150,0,100,CRA-BR-120/150,0,1,CRA-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK120/150-250,Hawthorn 120/150cm bare root x 250,49799,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-120/150,0,250,CRA-BR-120/150,0,1,CRA-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK120/150-500,Hawthorn 120/150cm bare root x 500,87149,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-120/150,0,500,CRA-BR-120/150,0,1,CRA-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK120/150-1000,Hawthorn 120/150cm bare root x 1000,149399,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-120/150,0,1000,CRA-BR-120/150,0,1,CRA-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK150/175-50,Hawthorn 150/175cm bare root x 50,18949,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-150/175,0,50,CRA-BR-150/175,0,1,CRA-BR-150/175,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK150/175-100,Hawthorn 150/175cm bare root x 100,35899,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-150/175,0,100,CRA-BR-150/175,0,1,CRA-BR-150/175,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK40/60-100,Beech 40/60cm bare root x 100,7499,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-40/60,0,100,FAGS-BR-40/60,0,1,FAGS-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK40/60-250,Beech 40/60cm bare root x 250,17699,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-40/60,0,250,FAGS-BR-40/60,0,1,FAGS-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK40/60-500,Beech 40/60cm bare root x 500,33499,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-40/60,0,500,FAGS-BR-40/60,0,1,FAGS-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK60/90-50,Beech 60/90cm bare root x 50,5999,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-60/90,0,50,FAGS-BR-60/90,0,1,FAGS-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK60/90-100,Beech 60/90cm bare root x 100,11499,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-60/90,0,100,FAGS-BR-60/90,0,1,FAGS-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK60/90-250,Beech 60/90cm bare root x 250,26999,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-60/90,0,250,FAGS-BR-60/90,0,1,FAGS-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK60/90-500,Beech 60/90cm bare root x 500,47999,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-60/90,0,500,FAGS-BR-60/90,0,1,FAGS-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,FAGS-BRPK90/120-50,Beech 90/120cm bare root x 50,9399,0,1,,,,,,,,,,,,,,,,,,,
Component,FAGS-BR-90/120,0,50,FAGS-BR-90/120,0,1,FAGS-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
